Neighborhood,BldgType,OverallQual,LotArea,BedroomAbvGr,Bathrooms,GarageCars,SalePrice,Price_Per_Sq_Ft
CollgCr,1Fam,7,8450,3,2.5,2,208500,24.674556213017752
Other,1Fam,6,9600,3,2.0,2,181500,18.90625
CollgCr,1Fam,7,11250,3,2.5,2,223500,19.866666666666667
Other,1Fam,7,9550,3,1.0,3,140000,14.659685863874346
Other,1Fam,8,14260,4,2.5,3,250000,17.53155680224404
Other,1Fam,5,14115,1,1.5,2,143000,10.131066241586964
Somerst,1Fam,8,10084,3,2.0,2,307000,30.444268147560493
NWAmes,1Fam,7,10382,3,2.5,2,200000,19.264110961279137
OldTown,1Fam,7,6120,2,2.0,2,129900,21.225490196078432
Other,2fmCon,5,7420,2,1.0,1,118000,15.902964959568733
Sawyer,1Fam,5,11200,3,1.0,1,129500,11.5625
NridgHt,1Fam,9,11924,4,3.0,3,345000,28.933243877893325
Sawyer,1Fam,5,12968,2,1.0,1,144000,11.104256631708822
CollgCr,1Fam,7,10652,3,2.0,3,279500,26.239203905369884
NAmes,1Fam,6,10920,2,1.5,1,157000,14.377289377289378
Other,1Fam,7,6120,2,1.0,2,132000,21.568627450980394
NAmes,1Fam,6,11241,2,1.0,2,149000,13.255048483231029
Sawyer,Duplex,4,10791,2,2.0,2,90000,8.340283569641368
SawyerW,1Fam,5,13695,3,1.5,2,159000,11.610076670317634
NAmes,1Fam,5,7560,3,1.0,1,139000,18.386243386243386
NridgHt,1Fam,8,14215,4,3.5,3,325300,22.884277172001408
Other,1Fam,7,7449,3,1.0,1,139400,18.71392133172238
CollgCr,1Fam,8,9742,3,2.0,2,230000,23.609115171422705
Other,TwnhsE,5,4224,3,1.0,2,129900,30.75284090909091
Sawyer,1Fam,5,8246,3,1.0,1,154000,18.67572156196944
NridgHt,1Fam,8,14230,3,2.0,3,256300,18.011243851018975
NAmes,1Fam,5,7200,3,1.0,2,134800,18.72222222222222
NridgHt,1Fam,8,11478,3,2.0,3,306000,26.659696811291166
NAmes,1Fam,5,16321,2,1.0,1,207500,12.713681759696097
Other,1Fam,4,6324,1,1.0,1,68500,10.831752055660974
Other,1Fam,4,8500,3,1.0,1,40000,4.705882352941177
Sawyer,1Fam,5,8544,3,1.5,1,149350,17.480102996254683
CollgCr,1Fam,8,11049,3,2.0,2,179900,16.282016472078922
NAmes,1Fam,5,10552,4,1.5,2,165500,15.684230477634571
NridgHt,TwnhsE,9,7313,2,2.0,2,277500,37.94612334199371
NridgHt,1Fam,8,13418,4,3.5,3,309000,23.02876732747056
CollgCr,1Fam,5,10859,3,1.5,2,145000,13.352979095681002
NAmes,1Fam,5,8532,3,1.0,2,153000,17.932489451476794
NAmes,1Fam,5,7922,3,1.0,1,109000,13.759151729361273
Edwards,Duplex,4,6040,2,2.0,0,82000,13.57615894039735
NAmes,1Fam,6,8658,3,2.0,2,160000,18.48001848001848
Other,1Fam,5,16905,2,1.5,1,170000,10.056196391600118
SawyerW,1Fam,5,9180,2,1.0,2,144000,15.686274509803921
CollgCr,1Fam,5,9200,3,1.0,1,130250,14.157608695652174
NAmes,1Fam,5,7945,3,1.0,1,141000,17.74701069855255
NridgHt,TwnhsE,9,7658,2,2.0,2,319900,41.773308957952466
Other,1Fam,7,12822,1,1.5,2,239686,18.693339572609577
Somerst,1Fam,8,11096,3,2.0,3,249700,22.50360490266763
OldTown,2fmCon,4,4456,2,2.0,0,113000,25.359066427289047
Sawyer,1Fam,5,7742,3,1.0,1,127000,16.404029966416946
Gilbert,1Fam,6,13869,3,2.0,2,177000,12.762275578628596
Other,1Fam,6,6240,3,1.0,2,114500,18.349358974358974
Other,Duplex,5,8472,2,1.0,2,110000,12.983947119924457
NAmes,1Fam,5,7134,3,1.0,2,130000,18.22259601906364
NAmes,1Fam,6,10175,3,2.0,2,180500,17.73955773955774
CollgCr,1Fam,7,11645,3,2.5,2,196500,16.874194933447832
Other,1Fam,10,13682,3,3.5,3,438780,32.06987282561029
CollgCr,1Fam,5,7200,2,1.0,1,124900,17.34722222222222
SawyerW,1Fam,6,13072,3,1.5,2,158000,12.086903304773562
Other,1Fam,5,7200,3,1.0,1,101000,14.027777777777779
NridgHt,TwnhsE,8,6442,2,2.0,2,202500,31.434337162371936
OldTown,1Fam,7,10300,3,2.0,2,140000,13.592233009708737
CollgCr,1Fam,7,9375,3,2.5,2,219500,23.413333333333334
NridgHt,1Fam,8,9591,4,2.5,3,317000,33.05181941403399
NAmes,1Fam,7,19900,3,2.0,2,180000,9.045226130653266
